product_id,months_included,n_rows,actual_total,pred_total,mae,rmse,smape,wape,bias_ratio
LC521,6,6,218.0,92.67295138621665,20.88784143563056,27.122968228118776,0.7112168301852616,0.5748947184118502,-0.5748947184118502
LC440,6,6,218.0,87.18979624931379,29.319059783693763,40.78613556417735,1.2884434686760236,0.8069465995512045,-0.6000468061958082
LC949,6,6,216.0,92.82208553243794,20.529652411260344,23.782555715651256,0.724020683414818,0.5702681225350096,-0.5702681225350096
LC928,6,6,216.0,88.9567110858538,27.741377782969067,33.987110036291774,1.309545301611207,0.7705938273046963,-0.5881633746025288
LC560,6,6,213.0,95.69253931408345,29.026953170270357,36.98767438545342,1.3297239267242529,0.8176606526836719,-0.5507392520465566
LC134,6,6,213.0,101.82681904795372,33.27273340822193,48.834318660475084,1.378951857658226,0.9372600960062515,-0.5219398166762735
LC925,6,6,212.0,96.87748086545164,35.503173270026785,52.69588779664097,1.473550064608233,1.0048067906611353,-0.5430307506346619
LC855,6,6,211.0,68.30452821161886,29.857889171136396,45.77955814926094,1.176119105588425,0.8490395024967696,-0.6762818568169722
LC582,6,6,210.0,69.87282715214889,28.895782878111522,38.38409254373535,1.072520160690694,0.8255937965174721,-0.6672722516564339
LC905,6,6,208.0,44.83268324382943,30.94310703885159,45.6033035886752,1.5116647412216588,0.8925896261207189,-0.7844582536354353
LC844,6,6,207.0,63.40153852475645,31.101574104824575,41.38061574852046,1.2256637739652427,0.901494901589118,-0.693712374276539
LC553,6,6,204.0,92.58510608029364,18.56914898661773,20.91731653059099,0.7436923892525811,0.5461514407828744,-0.5461514407828744
LC816,6,6,203.0,38.34693189624549,34.4625772105212,58.45509038000606,1.5231874211610876,1.018598341197671,-0.8110988576539632
LC423,6,6,202.0,86.97653852851123,20.415932306418753,24.299828807356967,0.7787754870586299,0.6064138308837254,-0.5694230765915285
LC568,6,6,202.0,50.95193439897595,29.02424333220364,43.308348327292485,1.1794549342604896,0.8621062375902071,-0.7477627009951685
LC717,6,6,201.0,69.63164325108083,26.63498549259234,40.390881175686715,1.0851976087118835,0.7950741938087266,-0.6535739141737271
LC845,6,6,201.0,36.83921786925687,28.575355177472844,51.9976685295499,1.122524768105715,0.8529956769394879,-0.8167203091081748
LC810,6,6,200.0,94.25803419180613,17.62366096803231,20.223608209129257,0.7566943620004233,0.5287098290409693,-0.5287098290409693
LC211,6,6,200.0,100.29718593955651,25.220551408852458,34.24128260716583,1.0778942983470292,0.7566165422655737,-0.49851407030221745
LC142,6,6,198.0,68.84122017174379,21.680992129286764,28.896192910288597,0.7501859868965367,0.6569997614935383,-0.652317069839678
